CATALOGUE_START,CATALOGUE_END,RETAILER,Description,Page,Promo Type,Multibuy Qty,Price Per Unit,Price Discount
31/10/2017,26/11/2017,Myer,Ty Beanies Large Unicorn - Pink,1,Price Reduction,,59.95,
31/10/2017,26/11/2017,Myer,Ty Beanies Large Unicorn - White,1,Price Reduction,,59.95,
31/10/2017,26/11/2017,Myer,Ty Beanies Assorted 13" Boos,1,Price Reduction,,21.95,
31/10/2017,26/11/2017,Myer,Ty Beanies Assorted Ty Mini Boos Collectibles,1,Price Reduction,,6.95,
31/10/2017,26/11/2017,Myer,LEGO Ideas NASA Apollo Saturn V 21309,2,Price Reduction,,149.95,20.00
31/10/2017,26/11/2017,Myer,LEGO Ideas Yellow Submarine 21306,2,Price Reduction,,69.95,10.00
31/10/2017,26/11/2017,Myer,LEGO Friends Heartlake Supermarket 41118,2,Price Reduction,,39.95,
31/10/2017,26/11/2017,Myer,LEGO Friends Heartlake Cupcake Cafe 41119,2,Price Reduction,,49.95,
31/10/2017,26/11/2017,Myer,LEGO Friends Heartlake Gift Delivery 41310,2,Price Reduction,,24.95,
31/10/2017,26/11/2017,Myer,LEGO City Advent Calendar 60155,2,Price Reduction,,49.95,
31/10/2017,26/11/2017,Myer,LEGO Star Wars Advent Calendar 75184,2,Price Reduction,,49.95,
31/10/2017,26/11/2017,Myer,LEGO Friends Advent Calendar 41326,2,Price Reduction,,49.95,
31/10/2017,26/11/2017,Myer,LEGO Speed Champions McLaren 720S 75880,3,Price Reduction,,20.00,
31/10/2017,26/11/2017,Myer,LEGO Speed Champions Mercedes AMG GT3 75877,3,Price Reduction,,20.00,
31/10/2017,26/11/2017,Myer,LEGO Speed Champions Scuderia Ferrari SF16-H 75879,3,Price Reduction,,20.00,
31/10/2017,26/11/2017,Myer,LEGO Speed Champions Bugatti Chiron 75878,3,Price Reduction,,20.00,
