CATALOGUE_START,CATALOGUE_END,RETAILER,Description,Page,Promo Type,Multibuy Qty,Price Per Unit,Price Discount
2017/11/6,2017/11/12,New World -NI,"GARNIER, LOREAL PARIS",1,% Off,,0,0
2017/11/6,2017/11/12,New World -NI,RED SEAL,1,% Off,,0,0
2017/11/6,2017/11/12,New World -NI,HEALTHERIES,1,% Off,,0,0
2017/11/6,2017/11/12,New World -NI,NIVEA,1,Price Reduction,,0,0
2017/11/6,2017/11/12,New World -NI,Crystaderm First Aid Cream 10g,2,Price Reduction,,8.99,0
2017/11/6,2017/11/12,New World -NI,Elastoplast Sensitive Dressing 6cm x 10cm 10s,2,Price Reduction,,4.99,0
2017/11/6,2017/11/12,New World -NI,Anthisan Cream 25g,2,Price Reduction,,12.49,0
2017/11/6,2017/11/12,New World -NI,Aerogard Insect Repellent 135ml,2,Price Reduction,,7.99,0
2017/11/6,2017/11/12,New World -NI,Neu Men's Deodorant 150ml,2,Price Reduction,,4.49,0
2017/11/6,2017/11/12,New World -NI,Neu Men's Roll On Deodorant 65ml,2,Price Reduction,,3.49,0
2017/11/6,2017/11/12,New World -NI,Ansell Skyn Condoms 10s,2,Price Reduction,,11.99,0
2017/11/6,2017/11/12,New World -NI,Dove Clinical Protection Anti-perspirant Deodorant 45ml,2,Price Reduction,,9.99,0
2017/11/6,2017/11/12,New World -NI,Dove Roll On Deodorant 50ml,2,Price Reduction,,3.49,0
2017/11/6,2017/11/12,New World -NI,Dove Anti-perspirant Deodorant Stick 40g,2,Price Reduction,,4.99,0
2017/11/6,2017/11/12,New World -NI,Skyn Lubricant 80ml,2,Price Reduction,,11.99,0
2017/11/6,2017/11/12,New World -NI,Dove Anti-perspirant Deodorant Spray 250ml,2,Price Reduction,,4.99,0
2017/11/6,2017/11/12,New World -NI,Nurofen Zavance 20s / 24s / Nurofen for Children Chewable 7+ years 12s / Nuromol 12s,3,Price Reduction,,8.49,0
2017/11/6,2017/11/12,New World -NI,Panadol Rapid Caplets 20s,3,Price Reduction,,5.99,0
2017/11/6,2017/11/12,New World -NI,Scholl Gel Activ Insoles Work,3,Price Reduction,,26.99,0
2017/11/6,2017/11/12,New World -NI,Scholl Gel Activ Insoles Everyday Heels,3,Price Reduction,,20.99,0
2017/11/6,2017/11/12,New World -NI,Scholl Velvet Smooth Electronic Foot File Ultra Coarse Refill Twin,3,Price Reduction,,19.99,0
2017/11/6,2017/11/12,New World -NI,Compeed Blister Plasters Medium / Mixed Pack 5s,3,Price Reduction,,9.99,0
2017/11/6,2017/11/12,New World -NI,Germ-X Hand Sanitiser Original 236ml,3,Price Reduction,,4.99,0
2017/11/6,2017/11/12,New World -NI,Swisspers Make-up Pads 80s,3,Price Reduction,,2.49,0
2017/11/6,2017/11/12,New World -NI,Zovirax Anti-Viral Cold Sore Treatment 2g,3,Price Reduction,,18.99,0
